Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
0.0019099203971357135,0.07438447142981604,-0.0054482203333231245,823,CMBT,positive
0.001909874748720235,-0.01780447031260806,0.0011589427818431773,976,MAPS,positive
0.00190926452631209,0.0008237411350125807,-0.00012495620336273525,1738,MAPS,negative
0.0019091588938830865,0.0008237411350125807,-0.00012495620336273525,1664,MAPS,negative
0.0019090628333939329,0.21659447665890322,-0.01515630065333593,1714,DAN,negative
0.0019078781460114028,-0.01780447031260806,0.0011589427818431773,1992,MAPS,positive
0.0019072063711160863,0.07438447142981604,-0.0054482203333231245,264,CMBT,positive
0.0019063640248557442,0.06611216320265549,-0.005006697266834522,323,NOR,positive
0.001905792488091582,0.06611216320265549,-0.005006697266834522,1476,NOR,positive
0.0019038080256529074,0.0700933034387825,-0.004032991241960037,1476,DHB,positive
0.0019016783933900362,0.0700933034387825,-0.004032991241960037,1602,DHB,positive
0.0019015566455464344,0.002377027793796887,-0.0002197730980858931,1101,pNA,positive
0.0019007402341272113,0.0700933034387825,-0.004032991241960037,140,DHB,positive
0.0018969594270774079,0.06611216320265549,-0.005006697266834522,563,NOR,positive
0.0018963331917216091,-0.04862582156147913,0.0036256023499807244,1536,CMBT,negative
0.0018962696651739577,-0.02396147813242467,0.0016470926031816456,396,DHAP,negative
0.0018961769522701005,0.05086923049537144,-0.0046527657620230615,305,9AA,negative
0.001896000269687537,0.06611216320265549,-0.005006697266834522,325,NOR,positive
0.0018945028031752869,0.05322133102288993,-0.0038073421769682344,1664,DHAP,positive
0.0018920713889656327,0.132826751229078,-0.009340691353232138,134,DAN,positive
0.0018906365643722952,-0.04862582156147913,0.0036256023499807244,1432,CMBT,negative
0.0018888493773417017,0.09203329299596945,-0.0066704457622993405,1922,NOR,negative
0.0018887593401720948,-0.007808444041996976,0.0005194308128702205,1923,ClCCA,negative
0.0018874176086918,-0.04862582156147913,0.0036256023499807244,910,CMBT,negative
0.0018860546827158889,0.05086923049537144,-0.0046527657620230615,563,9AA,negative
