,prediction,observed_value,classifier,name_short,matrix,polarity,fold
13,0.00045258674,False,pytorch_NN,gamma-Aminobutyric acid,9AA,positive,9
14,0.55622506,False,pytorch_NN,myo-Inositol,9AA,positive,9
0,0.9947577,True,pytorch_NN,2-Oxoglutaric acid,CHCA,negative,0
1,0.99945813,True,pytorch_NN,3-Phosphoglyceric acid,CHCA,negative,0
2,0.6021704,True,pytorch_NN,"4,5-Dihydroorotic acid",CHCA,negative,0
3,0.9994629,True,pytorch_NN,6-Phosphogluconic acid,CHCA,negative,0
4,0.99995995,True,pytorch_NN,Acetyl-CoA,CHCA,negative,0
5,0.9975516,True,pytorch_NN,Adenosine diphosphate,CHCA,negative,0
6,0.13479094,True,pytorch_NN,Arginine,CHCA,negative,0
7,0.98237544,True,pytorch_NN,Argininosuccinic acid,CHCA,negative,0
8,0.0031499027,False,pytorch_NN,3-Hydroxyanthranilic acid,CHCA,negative,0
9,0.99890065,False,pytorch_NN,3-Hydroxymethylglutaric acid,CHCA,negative,0
10,0.9990792,False,pytorch_NN,4-Hydroxyproline,CHCA,negative,0
11,0.009904599,False,pytorch_NN,5-Hydroxyindoleacetic acid,CHCA,negative,0
12,0.010088548,False,pytorch_NN,Acetoacetic acid,CHCA,negative,0
13,0.0022382522,False,pytorch_NN,Acetylcarnitine,CHCA,negative,0
14,1.1732165e-07,False,pytorch_NN,Acetylcholine,CHCA,negative,0
15,0.976101,False,pytorch_NN,Adenine,CHCA,negative,0
16,0.9594622,False,pytorch_NN,Adenosine monophosphate,CHCA,negative,0
0,0.021166958,True,pytorch_NN,Ascorbic acid,CHCA,negative,1
1,0.991437,True,pytorch_NN,Aspartic acid,CHCA,negative,1
2,0.9998903,True,pytorch_NN,Cardiolipin 18:1,CHCA,negative,1
3,0.95789844,True,pytorch_NN,Carnosine,CHCA,negative,1
4,0.079270616,True,pytorch_NN,Cholic acid,CHCA,negative,1
5,0.99110657,True,pytorch_NN,Citric acid,CHCA,negative,1
6,0.986945,True,pytorch_NN,Citrulline,CHCA,negative,1
7,0.9988562,True,pytorch_NN,Coenzyme A,CHCA,negative,1
8,0.035115827,False,pytorch_NN,Agmatine,CHCA,negative,1
9,0.0305201,False,pytorch_NN,Asparagine,CHCA,negative,1
10,0.9677711,False,pytorch_NN,Biotin,CHCA,negative,1
11,0.0058640456,False,pytorch_NN,Butyric acid,CHCA,negative,1
12,0.0051478925,False,pytorch_NN,CAR 16:0,CHCA,negative,1
13,0.0026891783,False,pytorch_NN,Carnitine,CHCA,negative,1
14,0.003027409,False,pytorch_NN,Cer d8:1/22:0 Cer,CHCA,negative,1
15,0.0022725111,False,pytorch_NN,Cholecalciferol,CHCA,negative,1
16,0.00017819482,False,pytorch_NN,Choline,CHCA,negative,1
0,0.00015675036,True,pytorch_NN,Cysteine,CHCA,negative,2
1,0.9980786,True,pytorch_NN,Dihydroxyacetone phosphate,CHCA,negative,2
2,0.27644596,True,pytorch_NN,Flavin adenine dinucleotide,CHCA,negative,2
3,0.9997553,True,pytorch_NN,"Fructose 1,6-bisphosphate",CHCA,negative,2
4,0.99831885,True,pytorch_NN,Fumaric acid,CHCA,negative,2
5,0.9898719,True,pytorch_NN,GM3 Ganglioside 18:0,CHCA,negative,2
6,0.99458236,True,pytorch_NN,Gluconic acid,CHCA,negative,2
7,6.685453e-05,False,pytorch_NN,Creatine,CHCA,negative,2
8,3.24973e-05,False,pytorch_NN,Creatinine,CHCA,negative,2
9,0.16204403,False,pytorch_NN,Cyclic adenosine monophosphate,CHCA,negative,2
10,0.98037714,False,pytorch_NN,Cystine,CHCA,negative,2
11,1.8163773e-05,False,pytorch_NN,Cytidine,CHCA,negative,2
12,0.1500308,False,pytorch_NN,Cytidine monophosphate,CHCA,negative,2
13,1.1816774e-05,False,pytorch_NN,Cytosine,CHCA,negative,2
14,0.0019517888,False,pytorch_NN,Dihydroxyacetone,CHCA,negative,2
15,2.6119283e-06,False,pytorch_NN,Dopamine,CHCA,negative,2
0,0.027314197,True,pytorch_NN,Glucosamine 6-phosphate,CHCA,negative,3
