,observed_value,prediction,classifier,name_short,matrix,polarity,fold,feat_sel_method,feat_sel_quantile,nb_features
14,False,True,MLP,Oxalacetic acid,9AA,negative,6,RandomForest,0.8333333333333333,58
15,False,False,MLP,Palmitic acid,9AA,negative,6,RandomForest,0.8333333333333333,58
0,True,True,MLP,Pantetheine,9AA,negative,7,RandomForest,0.8333333333333333,58
1,True,True,MLP,Pantothenic acid,9AA,negative,7,RandomForest,0.8333333333333333,58
2,True,True,MLP,Phenylalanine,9AA,negative,7,RandomForest,0.8333333333333333,58
3,True,True,MLP,Phosphocreatine,9AA,negative,7,RandomForest,0.8333333333333333,58
4,True,True,MLP,Phosphoenolpyruvic acid,9AA,negative,7,RandomForest,0.8333333333333333,58
5,True,False,MLP,Proline,9AA,negative,7,RandomForest,0.8333333333333333,58
6,True,True,MLP,Prostaglandin E1,9AA,negative,7,RandomForest,0.8333333333333333,58
7,True,True,MLP,Pyridoxine,9AA,negative,7,RandomForest,0.8333333333333333,58
8,True,True,MLP,Quinolinic acid,9AA,negative,7,RandomForest,0.8333333333333333,58
9,True,True,MLP,Riboflavin,9AA,negative,7,RandomForest,0.8333333333333333,58
10,True,True,MLP,Ribulose,9AA,negative,7,RandomForest,0.8333333333333333,58
11,True,True,MLP,Ribulose 5-phosphate,9AA,negative,7,RandomForest,0.8333333333333333,58
12,False,True,MLP,Phylloquinone,9AA,negative,7,RandomForest,0.8333333333333333,58
13,False,False,MLP,Propionylcarnitine,9AA,negative,7,RandomForest,0.8333333333333333,58
14,False,False,MLP,Putrescine,9AA,negative,7,RandomForest,0.8333333333333333,58
15,False,False,MLP,Pyruvic acid,9AA,negative,7,RandomForest,0.8333333333333333,58
0,True,True,MLP,S-Adenosylhomocysteine,9AA,negative,8,RandomForest,0.8333333333333333,58
1,True,True,MLP,SM d18:1-16:0,9AA,negative,8,RandomForest,0.8333333333333333,58
2,True,True,MLP,Serine,9AA,negative,8,RandomForest,0.8333333333333333,58
3,True,False,MLP,Succinic acid,9AA,negative,8,RandomForest,0.8333333333333333,58
4,True,True,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8,RandomForest,0.8333333333333333,58
5,True,False,MLP,Taurine,9AA,negative,8,RandomForest,0.8333333333333333,58
6,True,True,MLP,Taurocholic acid,9AA,negative,8,RandomForest,0.8333333333333333,58
7,True,True,MLP,Thymine,9AA,negative,8,RandomForest,0.8333333333333333,58
8,True,True,MLP,Tryptophan,9AA,negative,8,RandomForest,0.8333333333333333,58
9,True,True,MLP,Tyrosine,9AA,negative,8,RandomForest,0.8333333333333333,58
10,True,True,MLP,Uracil,9AA,negative,8,RandomForest,0.8333333333333333,58
11,True,True,MLP,Ureidosuccinic acid,9AA,negative,8,RandomForest,0.8333333333333333,58
12,False,False,MLP,Retinoic acid,9AA,negative,8,RandomForest,0.8333333333333333,58
13,False,True,MLP,S-Adenosylmethionine,9AA,negative,8,RandomForest,0.8333333333333333,58
14,False,True,MLP,Serotonin,9AA,negative,8,RandomForest,0.8333333333333333,58
15,False,False,MLP,Spermidine,9AA,negative,8,RandomForest,0.8333333333333333,58
0,True,True,MLP,Uric acid,9AA,negative,9,RandomForest,0.8333333333333333,58
1,True,True,MLP,Uridine,9AA,negative,9,RandomForest,0.8333333333333333,58
2,True,True,MLP,Uridine diphosphate,9AA,negative,9,RandomForest,0.8333333333333333,58
3,True,True,MLP,Uridine diphosphate glucose,9AA,negative,9,RandomForest,0.8333333333333333,58
4,True,True,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9,RandomForest,0.8333333333333333,58
5,True,True,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9,RandomForest,0.8333333333333333,58
6,True,True,MLP,Urocanic acid,9AA,negative,9,RandomForest,0.8333333333333333,58
7,True,True,MLP,Valine,9AA,negative,9,RandomForest,0.8333333333333333,58
