,mean_abs_shap_value,std_abs_shap_value,feature_name,matrix,polarity
94,0.0046012744310659,0.0083249459356592,1457,pNA,positive
95,0.0045440898647277,0.0094071447477083,1516,pNA,positive
96,0.0043356220804608,0.0083691738067018,1459,pNA,positive
97,0.0042856662344396,0.0156293252587262,1243,pNA,positive
98,0.0041679190362408,0.0201535500830229,1977,pNA,positive
99,0.0041160611598928,0.0079226909353936,41,pNA,positive
100,0.0040992140968393,0.0089422785534585,1693,pNA,positive
101,0.0040105017904848,0.0124772448595491,1754,pNA,positive
102,0.0039441905774627,0.0094563746902238,573,pNA,positive
103,0.0038846046233657,0.0070100126117282,1136,pNA,positive
104,0.0038804902838433,0.0077975277830138,140,pNA,positive
105,0.0038689025690528,0.0080460935376759,13,pNA,positive
106,0.0038688211691668,0.0080713354077886,643,pNA,positive
107,0.0037518203611701,0.0079371140675907,1017,pNA,positive
108,0.0037056158876194,0.0236880149414846,1120,pNA,positive
109,0.0036867085297933,0.0174336306642415,89,pNA,positive
110,0.0036071333852195,0.0135425217046152,1126,pNA,positive
111,0.0034756679147352,0.0107734693742273,2038,pNA,positive
112,0.0032922500484119,0.0109097038649276,371,pNA,positive
113,0.0032859356635581,0.0063808214442791,1724,pNA,positive
114,0.0032714742637463,0.0087787044389106,622,pNA,positive
115,0.0032400013723721,0.0076304996533662,519,pNA,positive
116,0.003237885393548,0.0092873964621005,1061,pNA,positive
117,0.0032220530924887,0.0179455433712172,1714,pNA,positive
118,0.003163318471475,0.0291563599122668,1432,pNA,positive
119,0.0031435629948232,0.0152887917506217,1454,pNA,positive
120,0.0030814980233461,0.015776332664917,745,pNA,positive
121,0.0029481180455398,0.0088974591216356,598,pNA,positive
122,0.0029260323770083,0.005706529127903,489,pNA,positive
123,0.0028853270397576,0.0067498934106845,1431,pNA,positive
124,0.0028724153743965,0.0090890999451328,309,pNA,positive
125,0.0028315440491441,0.0092490250521438,456,pNA,positive
126,0.0027998746050853,0.0123843218836494,960,pNA,positive
127,0.0027876588228316,0.0057565324079532,197,pNA,positive
128,0.0027256713527811,0.0089375105486917,1530,pNA,positive
129,0.0025488393332952,0.0083002278723464,1866,pNA,positive
130,0.0025467061784762,0.0047807573681029,1274,pNA,positive
131,0.0025076426217251,0.009657693643179,888,pNA,positive
