,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
156,4.852406059687796,4.233419467036962,MLP,cis-Aconitic acid,9AA,negative,9,0
157,2.9715890912775222,4.144913691561955,MLP,gamma-Aminobutyric acid,9AA,negative,9,0
158,2.8644638578656383,3.704252031974832,MLP,myo-Inositol,9AA,negative,9,0
159,0.0,3.744298329471396,MLP,TG 15:0-18:1-15:0,9AA,negative,9,0
160,0.0,4.109966992472282,MLP,Tetrahydrofolic acid,9AA,negative,9,0
161,0.0,4.06882481865403,MLP,Thiamine,9AA,negative,9,0
162,0.0,4.134274032364336,MLP,alpha-tocopherol,9AA,negative,9,0
163,2.3378258507457588,3.0988046182227547,MLP,4-Hydroxyproline,9AA,positive,0,0
164,4.886191877946075,3.0119357139816816,MLP,Acetylcarnitine,9AA,positive,0,0
165,5.285029917430252,2.8473556118098227,MLP,Acetylcholine,9AA,positive,0,0
166,2.8477399012549363,2.866971625893032,MLP,Adenosine monophosphate,9AA,positive,0,0
167,4.369543585782956,2.846408524121976,MLP,Agmatine,9AA,positive,0,0
168,3.69311947904992,2.846568474491154,MLP,Arginine,9AA,positive,0,0
169,1.2014110816106518,3.079425608810568,MLP,Argininosuccinic acid,9AA,positive,0,0
170,0.0,2.8590609663633537,MLP,2-Oxoglutaric acid,9AA,positive,0,0
171,0.0,3.3983377377151216,MLP,3-Hydroxyanthranilic acid,9AA,positive,0,0
172,0.0,2.8538313705685936,MLP,3-Hydroxymethylglutaric acid,9AA,positive,0,0
173,0.0,2.9261447949488,MLP,3-Phosphoglyceric acid,9AA,positive,0,0
174,0.0,2.851241796088991,MLP,"4,5-Dihydroorotic acid",9AA,positive,0,0
175,0.0,3.121862494018845,MLP,5-Hydroxyindoleacetic acid,9AA,positive,0,0
176,0.0,2.8521290950802096,MLP,Acetoacetic acid,9AA,positive,0,0
177,0.0,2.8938041776487906,MLP,Acetyl-CoA,9AA,positive,0,0
178,0.0,3.628963591553623,MLP,Adenine,9AA,positive,0,0
179,5.9376349305790495,2.908520844353135,MLP,CAR 16:0,9AA,positive,1,0
180,5.115115150204343,3.152122575592847,MLP,Carnitine,9AA,positive,1,0
181,2.84879006028283,2.90369294983304,MLP,Carnosine,9AA,positive,1,0
182,2.562091102683384,3.199882426477591,MLP,Cer d8:1/22:0 Cer,9AA,positive,1,0
183,2.880629292318222,3.44180277618659,MLP,Cholic acid,9AA,positive,1,0
184,5.666215272916145,3.30247946194102,MLP,Choline,9AA,positive,1,0
185,2.30605354157181,3.0426222503560814,MLP,Citrulline,9AA,positive,1,0
186,0.0,3.0956251105332826,MLP,Adenosine diphosphate,9AA,positive,1,0
187,0.0,2.954650249357216,MLP,Ascorbic acid,9AA,positive,1,0
188,0.0,2.946000013478079,MLP,Asparagine,9AA,positive,1,0
189,0.0,2.977486540662533,MLP,Aspartic acid,9AA,positive,1,0
190,0.0,2.9463217562042847,MLP,Biotin,9AA,positive,1,0
191,0.0,2.9253474902693157,MLP,Butyric acid,9AA,positive,1,0
192,0.0,2.94711257636596,MLP,Cardiolipin 18:1,9AA,positive,1,0
193,0.0,2.9846590345783826,MLP,Cholecalciferol,9AA,positive,1,0
194,0.0,3.1000089281928545,MLP,Cholesteryl acetate,9AA,positive,1,0
195,2.687466693012249,3.082322227931106,MLP,Creatine,9AA,positive,2,0
196,2.891615441931421,3.0513830404166,MLP,Creatinine,9AA,positive,2,0
197,2.484365861328573,3.3451443333710893,MLP,Cyclic adenosine monophosphate,9AA,positive,2,0
198,2.791869269386008,3.163287055232689,MLP,Cytidine,9AA,positive,2,0
199,3.4023905055806605,2.9867899927047565,MLP,Flavin mononucleotide,9AA,positive,2,0
200,2.8992784995883603,2.9895176894566737,MLP,Glucosyl cholesterol,9AA,positive,2,0
201,4.153401046926821,3.078608604690324,MLP,Glycerophosphocholine,9AA,positive,2,0
202,0.0,3.108496612131631,MLP,Cholesterol,9AA,positive,2,0
203,0.0,2.989284378593876,MLP,Cholesteryl ester 17:0,9AA,positive,2,0
204,0.0,3.393731690432451,MLP,Citric acid,9AA,positive,2,0
205,0.0,3.000840515916512,MLP,Coenzyme A,9AA,positive,2,0
