,prediction,observed_value,classifier,name_short,matrix,polarity,fold
12,0.03663449,False,pytorch_NN,L-Dopa,9AA,positive,4
13,0.003288583,False,pytorch_NN,Lactic acid,9AA,positive,4
14,0.0007489327,False,pytorch_NN,Malic acid,9AA,positive,4
15,0.0011031406,False,pytorch_NN,Malonic acid,9AA,positive,4
0,0.9435995,True,pytorch_NN,Lyso PG 16:0,9AA,positive,5
1,0.014657325,True,pytorch_NN,Lyso PI 17:1,9AA,positive,5
2,0.94346374,True,pytorch_NN,Lyso PS 17:1,9AA,positive,5
3,0.9429225,True,pytorch_NN,MG 18:1,9AA,positive,5
4,0.07575056,True,pytorch_NN,Mevalonic acid,9AA,positive,5
5,0.16994162,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,positive,5
6,0.054393347,True,pytorch_NN,N-Acetylglucosamine,9AA,positive,5
7,0.9269215,False,pytorch_NN,Melatonin,9AA,positive,5
8,0.56839293,False,pytorch_NN,Methionine,9AA,positive,5
9,0.063015744,False,pytorch_NN,N-Acetylaspartic acid,9AA,positive,5
10,0.1243479,False,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,positive,5
11,0.9386761,False,pytorch_NN,Niacinamide,9AA,positive,5
12,0.026372585,False,pytorch_NN,Nicotinic acid,9AA,positive,5
13,0.63881326,False,pytorch_NN,Ornithine,9AA,positive,5
14,0.0012765074,False,pytorch_NN,Orotic acid,9AA,positive,5
15,0.009735501,False,pytorch_NN,Oxalacetic acid,9AA,positive,5
0,0.9988097,True,pytorch_NN,"N6,N6,N6-Trimethyllysine",9AA,positive,6
1,0.24044791,True,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),9AA,positive,6
2,0.024096675,True,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,positive,6
3,0.24729528,True,pytorch_NN,Nicotinamide riboside,9AA,positive,6
4,0.11679278,True,pytorch_NN,Nicotinamide ribotide,9AA,positive,6
5,0.99860424,True,pytorch_NN,Oxidized glutathione,9AA,positive,6
6,0.7266567,True,pytorch_NN,PA 16:0-18:1,9AA,positive,6
7,0.6437753,False,pytorch_NN,PE 18:0-20:4,9AA,positive,6
8,0.8344114,False,pytorch_NN,PI 16:0-18:1,9AA,positive,6
9,0.23409869,False,pytorch_NN,PI(5)P 18:1,9AA,positive,6
10,0.13443941,False,pytorch_NN,Palmitic acid,9AA,positive,6
11,0.012392384,False,pytorch_NN,Palmitoyl-CoA,9AA,positive,6
12,0.99828535,False,pytorch_NN,Pantothenic acid,9AA,positive,6
13,0.01958003,False,pytorch_NN,Phenylalanine,9AA,positive,6
14,0.002055755,False,pytorch_NN,Phosphoenolpyruvic acid,9AA,positive,6
15,0.35145748,False,pytorch_NN,Proline,9AA,positive,6
0,0.973125,True,pytorch_NN,PC (O) C16-18:1,9AA,positive,7
1,0.9791191,True,pytorch_NN,PC 15:0-18:1,9AA,positive,7
2,0.5924031,True,pytorch_NN,PG 16:0-18:1,9AA,positive,7
3,0.19476205,True,pytorch_NN,PS (POPS) 16:0-18:1,9AA,positive,7
4,0.1340046,True,pytorch_NN,Pantetheine,9AA,positive,7
