,prediction,observed_value,classifier,name_short,matrix,polarity,fold
0,0.01573409,True,pytorch_NN,Histamine,9AA,positive,4
1,0.417476,True,pytorch_NN,Histidine,9AA,positive,4
2,0.001041008,True,pytorch_NN,Hypoxanthine,9AA,positive,4
3,0.14143407,True,pytorch_NN,Kynurenine,9AA,positive,4
4,0.9987851,True,pytorch_NN,Lyso PA 18:1,9AA,positive,4
5,0.99987686,True,pytorch_NN,Lyso PC 15:0,9AA,positive,4
6,0.69100815,True,pytorch_NN,Lyso PE 18:0,9AA,positive,4
7,0.07887875,False,pytorch_NN,Glutamic acid,9AA,positive,4
8,0.11828391,False,pytorch_NN,Glycerol 3-phosphate,9AA,positive,4
9,0.0002428232,False,pytorch_NN,Glycine,9AA,positive,4
10,0.4090375,False,pytorch_NN,Homocysteine,9AA,positive,4
11,0.026226722,False,pytorch_NN,Kynurenic acid,9AA,positive,4
12,0.0035568431,False,pytorch_NN,L-Dopa,9AA,positive,4
13,0.00023002044,False,pytorch_NN,Lactic acid,9AA,positive,4
14,5.1818868e-05,False,pytorch_NN,Malic acid,9AA,positive,4
15,0.00036399532,False,pytorch_NN,Malonic acid,9AA,positive,4
0,0.9771782,True,pytorch_NN,Lyso PG 16:0,9AA,positive,5
1,0.006488691,True,pytorch_NN,Lyso PI 17:1,9AA,positive,5
2,0.9969708,True,pytorch_NN,Lyso PS 17:1,9AA,positive,5
3,0.9822689,True,pytorch_NN,MG 18:1,9AA,positive,5
4,0.0069067352,True,pytorch_NN,Mevalonic acid,9AA,positive,5
5,0.19038428,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,positive,5
6,0.018632418,True,pytorch_NN,N-Acetylglucosamine,9AA,positive,5
7,0.9123701,False,pytorch_NN,Melatonin,9AA,positive,5
8,0.29549608,False,pytorch_NN,Methionine,9AA,positive,5
9,0.009968561,False,pytorch_NN,N-Acetylaspartic acid,9AA,positive,5
10,0.017501716,False,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,positive,5
11,0.98923,False,pytorch_NN,Niacinamide,9AA,positive,5
12,0.07162081,False,pytorch_NN,Nicotinic acid,9AA,positive,5
13,0.9216646,False,pytorch_NN,Ornithine,9AA,positive,5
14,0.0011557477,False,pytorch_NN,Orotic acid,9AA,positive,5
15,0.0016014369,False,pytorch_NN,Oxalacetic acid,9AA,positive,5
0,0.9998599,True,pytorch_NN,"N6,N6,N6-Trimethyllysine",9AA,positive,6
1,0.019432755,True,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),9AA,positive,6
2,0.0104654655,True,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,positive,6
3,0.044049412,True,pytorch_NN,Nicotinamide riboside,9AA,positive,6
4,0.018155703,True,pytorch_NN,Nicotinamide ribotide,9AA,positive,6
5,0.99635977,True,pytorch_NN,Oxidized glutathione,9AA,positive,6
6,0.726859,True,pytorch_NN,PA 16:0-18:1,9AA,positive,6
7,0.6916918,False,pytorch_NN,PE 18:0-20:4,9AA,positive,6
8,0.8889089,False,pytorch_NN,PI 16:0-18:1,9AA,positive,6
9,0.22289166,False,pytorch_NN,PI(5)P 18:1,9AA,positive,6
10,0.8286842,False,pytorch_NN,Palmitic acid,9AA,positive,6
11,0.009944397,False,pytorch_NN,Palmitoyl-CoA,9AA,positive,6
12,0.9964552,False,pytorch_NN,Pantothenic acid,9AA,positive,6
13,0.031803176,False,pytorch_NN,Phenylalanine,9AA,positive,6
14,0.004072566,False,pytorch_NN,Phosphoenolpyruvic acid,9AA,positive,6
15,0.13599962,False,pytorch_NN,Proline,9AA,positive,6
0,0.99138826,True,pytorch_NN,PC (O) C16-18:1,9AA,positive,7
1,0.99739957,True,pytorch_NN,PC 15:0-18:1,9AA,positive,7
2,0.15982239,True,pytorch_NN,PG 16:0-18:1,9AA,positive,7
3,0.045792043,True,pytorch_NN,PS (POPS) 16:0-18:1,9AA,positive,7
4,0.017963652,True,pytorch_NN,Pantetheine,9AA,positive,7
5,0.9951137,True,pytorch_NN,Propionylcarnitine,9AA,positive,7
6,0.09120976,False,pytorch_NN,Putrescine,9AA,positive,7
7,0.0021775218,False,pytorch_NN,Pyruvic acid,9AA,positive,7
8,0.079725824,False,pytorch_NN,Quinolinic acid,9AA,positive,7
9,0.08210561,False,pytorch_NN,Retinoic acid,9AA,positive,7
10,0.18572934,False,pytorch_NN,Ribulose,9AA,positive,7
11,0.0019325488,False,pytorch_NN,Serine,9AA,positive,7
12,0.013780335,False,pytorch_NN,Serotonin,9AA,positive,7
13,0.0011424376,False,pytorch_NN,Succinic acid,9AA,positive,7
14,0.6654493,False,pytorch_NN,Sulfo GalCer 18:0(2S-OH),9AA,positive,7
0,0.5613567,True,pytorch_NN,Prostaglandin E1,9AA,positive,8
1,0.53617746,True,pytorch_NN,Pyridoxine,9AA,positive,8
2,0.9936447,True,pytorch_NN,Riboflavin,9AA,positive,8
3,0.99777406,True,pytorch_NN,S-Adenosylhomocysteine,9AA,positive,8
4,0.99986637,True,pytorch_NN,S-Adenosylmethionine,9AA,positive,8
5,0.9996613,True,pytorch_NN,SM d18:1-16:0,9AA,positive,8
6,0.00043653927,False,pytorch_NN,Taurine,9AA,positive,8
7,0.99324894,False,pytorch_NN,Taurocholic acid,9AA,positive,8
8,0.053546794,False,pytorch_NN,Thymine,9AA,positive,8
9,0.00919055,False,pytorch_NN,Tyrosine,9AA,positive,8
10,0.00038546984,False,pytorch_NN,Uracil,9AA,positive,8
11,0.009177944,False,pytorch_NN,Ureidosuccinic acid,9AA,positive,8
12,0.013339557,False,pytorch_NN,Uric acid,9AA,positive,8
13,0.037269045,False,pytorch_NN,Uridine,9AA,positive,8
14,0.0015006507,False,pytorch_NN,Uridine diphosphate,9AA,positive,8
