,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
199,3.4023905055806605,3.9768954882857392,MLP,Flavin mononucleotide,9AA,positive,2,0
200,2.8992784995883603,3.739731919854495,MLP,Glucosyl cholesterol,9AA,positive,2,0
201,4.153401046926821,4.442459421313331,MLP,Glycerophosphocholine,9AA,positive,2,0
202,0.0,3.271624921690141,MLP,Cholesterol,9AA,positive,2,0
203,0.0,4.742890051145081,MLP,Cholesteryl ester 17:0,9AA,positive,2,0
204,0.0,3.49146042758539,MLP,Citric acid,9AA,positive,2,0
205,0.0,3.886160235678976,MLP,Coenzyme A,9AA,positive,2,0
206,0.0,2.825787644311448,MLP,Cysteine,9AA,positive,2,0
207,0.0,2.075456499429277,MLP,DG 18:0-22:6,9AA,positive,2,0
208,0.0,1.877110837495728,MLP,Dihydroxyacetone,9AA,positive,2,0
209,0.0,3.626055275604196,MLP,Dihydroxyacetone phosphate,9AA,positive,2,0
210,0.0,2.327894326987706,MLP,Dopamine,9AA,positive,2,0
211,4.171703915963149,2.8379418556714184,MLP,Cytidine monophosphate,9AA,positive,3,0
212,1.8834350888853608,2.877315797259826,MLP,Cytosine,9AA,positive,3,0
213,4.407864386932945,3.3364042356916097,MLP,Folic acid,9AA,positive,3,0
214,4.446442436277514,3.4711182477392915,MLP,GlcCer d18:1/18:0,9AA,positive,3,0
215,2.650223842943645,2.699418338239896,MLP,Lyso PA 18:1,9AA,positive,3,0
216,5.5556957076743,4.8789402734477,MLP,Lyso PC 15:0,9AA,positive,3,0
217,3.046217876551199,2.621317805989291,MLP,Lyso PG 16:0,9AA,positive,3,0
218,0.0,2.717782762795323,MLP,Epinephrine,9AA,positive,3,0
219,0.0,3.10941022457551,MLP,Flavin adenine dinucleotide,9AA,positive,3,0
220,0.0,4.136468507351642,MLP,"Fructose 1,6-bisphosphate",9AA,positive,3,0
221,0.0,4.437013962220116,MLP,Fumaric acid,9AA,positive,3,0
222,0.0,3.183265776203012,MLP,GM3 Ganglioside 18:0,9AA,positive,3,0
223,0.0,3.0454744628097283,MLP,Gluconic acid,9AA,positive,3,0
224,0.0,3.2529143905603672,MLP,Glucosamine,9AA,positive,3,0
225,0.0,2.2479104493901194,MLP,Glucosamine 6-phosphate,9AA,positive,3,0
226,0.0,3.0151174579417908,MLP,Glucose,9AA,positive,3,0
227,2.484553848680711,2.372438940921656,MLP,Glutamine,9AA,positive,4,0
