feature_name,mean_abs_shap,matrix,polarity
378,0.252679852545947,DAN,negative
192,0.25264304911823476,DHAP,negative
1380,0.2510060854956073,DAN,negative
389,0.25032070498123316,NOR,positive
1917,0.2502079768094167,DHB,negative
1716,0.24983293360146958,CHCA,negative
pka_strongest_basic,0.24812278087220846,CMBT,negative
389,0.24807512777814872,DHB,negative
1873,0.24687540830552943,9AA,negative
donor_count,0.24434511444107243,9AA,positive
1911,0.24316643623698672,CMBT,positive
pka_strongest_acidic,0.2429291071280093,CHCA,positive
pka_strongest_basic,0.23960672383890694,9AA,positive
656,0.2395956188394046,NOR,negative
1457,0.23887549432214533,DHAP,negative
378,0.23828733227199816,DHAP,negative
1114,0.2382077124354839,DHAP,negative
1911,0.237689155079305,CHCA,negative
1917,0.23758569850692235,DAN,negative
1171,0.23721521389756375,DHAP,negative
222,0.23676684453703795,9AA,positive
1386,0.2365384730712875,NOR,negative
1917,0.23614607195612852,NOR,negative
1819,0.2361322377252741,DAN,negative
656,0.23585765908809345,9AA,negative
1019,0.2357939161854147,pNA,positive
1838,0.23554187879348412,CHCA,negative
694,0.23525077342026815,NOR,negative
80,0.2351006608216032,CMBT,negative
389,0.23478017768721193,DAN,negative
794,0.23424461279121553,9AA,negative
1873,0.23318385702176866,NOR,positive
pka_strongest_acidic,0.23299184568213321,MAPS,positive
981,0.23227223132856967,9AA,negative
1257,0.2320465313005004,DHAP,negative
926,0.23139380407305377,DHAP,negative
1452,0.2293309569034274,CMBT,positive
80,0.2292957111988499,pNA,positive
1171,0.22811466936078487,CMBT,positive
650,0.22713600259639918,9AA,negative
1750,0.2268494575170652,DHAP,positive
980,0.22663065914544592,DAN,negative
389,0.22625157572567844,CHCA,negative
1019,0.22521676241956426,DHAP,positive
389,0.22446726361154049,MAPS,negative
80,0.2244567366418594,MAPS,negative
1911,0.22406461389315388,DHAP,negative
389,0.22403647139417096,9AA,positive
314,0.22376389136841268,DHAP,negative
283,0.22370494464817253,NOR,negative
1487,0.22212143333032958,NOR,negative
1019,0.2210918567235141,9AA,positive
739,0.21912558711139682,NOR,negative
1737,0.21883917262811967,DHAP,negative
1356,0.21880044116239464,NOR,negative
283,0.21813871910174687,pNA,positive
80,0.21709938102867454,DAN,positive
pka_strongest_acidic,0.2167194192194088,DHB,positive
pka_strongest_basic,0.21671020787489864,CHCA,negative
1,0.21608827464903393,CHCA,negative
739,0.21480521805401595,9AA,negative
1380,0.21458569199206645,pNA,positive
pka_strongest_acidic,0.2142026972829274,CMBT,negative
794,0.21364480075285291,NOR,positive
pka_strongest_basic,0.21290650871461494,MAPS,negative
1917,0.21247595081707926,9AA,positive
polarizability,0.21222089480934067,CHCA,negative
1917,0.2120744706597179,NOR,positive
1019,0.2119888652300325,DHAP,negative
1380,0.21164926469289497,DHB,negative
147,0.2115998840977594,NOR,negative
486,0.21125667332223833,ClCCA,negative
1921,0.21124258886703484,DHAP,negative
401,0.21113410702138066,DHAP,negative
1019,0.21104560040614823,NEDC,positive
283,0.21096308000294342,9AA,negative
486,0.21030080576542937,DHB,negative
1386,0.21004188391865672,DAN,negative
1849,0.2094220353473881,CMBT,positive
