feature_name,mean_abs_shap,matrix,polarity
1732,4.831431055468494,DHB,negative
1838,4.8050658722557795,DHB,positive
1019,4.804103702118125,CHCA,negative
519,4.79094850337958,CHCA,negative
695,4.7879830934578855,CHCA,negative
adduct_+K,4.767833926714957,CMBT,negative
592,4.763067348622808,9AA,positive
1022,4.761721949440887,9AA,negative
1,4.738202322039355,pNA,negative
1879,4.7368315841913935,DHB,positive
1607,4.732756579403208,DHB,positive
pka_strongest_acidic,4.729324535732823,MAPS,negative
1126,4.712305196078427,9AA,negative
1607,4.694856005765143,MAPS,negative
577,4.683386297397099,DHB,negative
592,4.665797631057461,DHAP,negative
adduct_+Cl,4.66406026317484,DAN,negative
1019,4.642359796549297,ClCCA,negative
1,4.617086241751101,9AA,negative
1607,4.6161127975758385,CMBT,positive
adduct_[M]+,4.609916533429052,9AA,negative
adduct_+Na,4.607183033490882,9AA,positive
1019,4.605690246189836,DHB,positive
1126,4.5845609012033615,9AA,positive
810,4.550010018860516,DHB,negative
142,4.532049397404275,DHAP,negative
1838,4.518902845647452,NEDC,negative
35,4.517273556478733,CMBT,positive
1738,4.500058819083314,9AA,positive
976,4.497423001431993,NEDC,negative
1722,4.458250409950885,9AA,positive
183,4.45421061648727,9AA,positive
652,4.445511467619132,NEDC,negative
1773,4.4433552926678335,DHAP,negative
1145,4.434464811826705,DHB,positive
35,4.433696790690726,ClCCA,negative
1738,4.424074492284229,DHB,positive
892,4.41629169546234,ClCCA,negative
610,4.404626578464647,9AA,positive
890,4.404042477788472,DHB,positive
1019,4.402339066075812,9AA,negative
245,4.395146586473972,ClCCA,negative
606,4.383313259000821,DHB,negative
adduct_-H,4.377402924917757,ClCCA,negative
976,4.371112546743086,DHB,positive
486,4.368988178308728,pNA,negative
606,4.354902332301699,ClCCA,negative
457,4.3528679965791195,DHAP,negative
184,4.351463597739071,ClCCA,negative
1738,4.350636031367772,ClCCA,negative
695,4.344409899024796,DHB,positive
528,4.340396880572499,CMBT,negative
1182,4.338131196442104,MAPS,negative
823,4.3287227877135415,pNA,negative
2001,4.319218943873163,ClCCA,positive
1432,4.3151437800633845,DHB,positive
482,4.294718543152882,DHB,negative
1432,4.288257487892331,DAN,negative
1065,4.278202128172519,NEDC,negative
1019,4.278072646262975,pNA,negative
1451,4.270785360966647,ClCCA,negative
636,4.255914353931855,NEDC,negative
352,4.23190948671061,9AA,negative
adduct_+K,4.2230948236888475,pNA,negative
1738,4.222078132519758,CHCA,negative
1819,4.214360002783083,ClCCA,negative
2044,4.209927084657145,9AA,positive
1182,4.202030936669972,DAN,positive
1328,4.201365353961976,DHB,positive
adduct_+K,4.188645591575002,ClCCA,negative
115,4.170431642032623,DHB,negative
adduct_[M]+,4.166058346811465,DHB,positive
1302,4.163696533165319,DHAP,negative
486,4.162812491257985,MAPS,negative
2004,4.1537501767194005,DHAP,negative
823,4.152266061090561,9AA,negative
adduct_-H,4.150896778804999,9AA,positive
adduct_+Na,4.143456141681835,CMBT,positive
1236,4.140117954994951,ClCCA,negative
1126,4.135378606979129,pNA,negative
486,4.132989394736577,9AA,negative
755,4.125296027116153,DHB,negative
727,4.11289756694465,pNA,negative
781,4.101942124497314,DHB,negative
1413,4.099581950994559,9AA,positive
1126,4.092881641731038,DHB,positive
adduct_+Cl,4.0912375498925995,CMBT,positive
35,4.087930238888234,CHCA,negative
1855,4.087021600632441,DHB,positive
1057,4.078796287503423,CHCA,negative
823,4.077159423203695,MAPS,negative
473,4.0515360523143995,DHB,positive
319,4.047734376377939,DHAP,negative
636,4.045596534224308,DHB,negative
1432,4.044164116476097,9AA,positive
adduct_+Na,4.0410549945164735,NEDC,negative
932,4.03463124052645,CHCA,negative
1290,4.029749168083072,NEDC,negative
652,4.024717013913369,ClCCA,negative
1236,4.013256869498599,DHAP,negative
2001,3.998872982371937,DHAP,positive
1432,3.9505202915957747,CMBT,positive
1685,3.9462129165404947,DHB,negative
504,3.941183726708269,DHB,positive
352,3.9382454614037448,pNA,negative
pka_strongest_acidic,3.929845900675419,CMBT,positive
785,3.926495102978257,DHB,positive
35,3.923396883129109,NEDC,negative
294,3.9154753103960838,DHAP,negative
396,3.9090945127779846,DHB,positive
888,3.907506019166372,pNA,negative
pka_strongest_acidic,3.9007693468169733,DAN,negative
1873,3.898507795662486,NEDC,negative
319,3.8824147776597075,ClCCA,negative
1440,3.8786636514292248,DHB,negative
pka_strongest_acidic,3.866847417153941,CMBT,negative
35,3.8643388795801044,9AA,negative
adduct_+K,3.8594357552657645,9AA,negative
810,3.85660509080783,DHAP,negative
387,3.852262232912598,DHB,negative
2018,3.823910645816637,DHB,negative
314,3.8237437899150546,DHB,positive
2034,3.822134194224059,NOR,negative
1349,3.800731823577669,9AA,negative
456,3.8002307127293165,pNA,negative
610,3.795664305251742,ClCCA,negative
adduct_+K,3.7905016553624735,9AA,positive
1440,3.7846778903954794,NEDC,negative
892,3.7778006416680645,CHCA,negative
1922,3.7775747463505405,DHAP,negative
1190,3.763168908385695,DHB,negative
1022,3.757079702875917,DHB,positive
810,3.7524955959192345,NEDC,negative
2001,3.743928359803355,pNA,negative
1182,3.7431233944722857,DAN,negative
1607,3.738268743901357,pNA,positive
116,3.734339276563774,pNA,negative
336,3.732100330529089,DHB,positive
636,3.7314619003491623,DHAP,negative
577,3.731096435128973,DHAP,negative
1144,3.726361013514903,pNA,negative
1995,3.7241568647857224,DHB,positive
888,3.716327719521104,CMBT,negative
727,3.707730178867119,9AA,negative
892,3.6866503376181106,NEDC,negative
179,3.6818221157820767,DHB,positive
116,3.670240907442002,MAPS,negative
829,3.6533510670929714,DHB,negative
adduct_+H,3.651232067108541,DAN,negative
1349,3.6507845809231108,pNA,negative
1516,3.648324758690946,CMBT,positive
1451,3.6430494134630345,NEDC,negative
971,3.6392169923453235,DHAP,negative
252,3.633226593794382,DHB,negative
695,3.6303821126523528,pNA,negative
486,3.6282445035482707,CMBT,negative
727,3.620809139595145,MAPS,negative
888,3.6128036947135467,9AA,negative
1431,3.6096598823519703,DHB,positive
1065,3.606390623220553,9AA,positive
adduct_+Na,3.6058111374762345,DAN,negative
1114,3.601123305224868,DHB,positive
1722,3.6004509173688435,ClCCA,negative
116,3.5954150692167053,9AA,negative
1738,3.591306491827189,NEDC,negative
143,3.5854721474777724,pNA,negative
1732,3.5803215090091225,DHAP,negative
823,3.576157124418961,CMBT,negative
adduct_+H,3.570545106779539,pNA,positive
336,3.568527281324985,ClCCA,negative
2001,3.555287886586673,NOR,positive
352,3.546148548523585,CMBT,negative
