,Matrix short,Polarity,adduct,name_short,detected,spot_intensity
308,9AA,negative,+H,Riboflavin,0,0.0
309,9AA,negative,+H,Ribose 5-phosphate,0,0.0
310,9AA,negative,+H,Ribulose,0,0.0
311,9AA,negative,+H,Ribulose 5-phosphate,0,0.0
312,9AA,negative,+H,S-Adenosylhomocysteine,0,0.0
313,9AA,negative,+H,S-Adenosylmethionine,0,0.0
314,9AA,negative,+H,SM d18:1-16:0,0,0.0
315,9AA,negative,+H,Serine,0,0.0
316,9AA,negative,+H,Serotonin,0,0.0
317,9AA,negative,+H,Spermidine,0,0.0
318,9AA,negative,+H,Spermine,0,0.0
319,9AA,negative,+H,Succinic acid,0,0.0
320,9AA,negative,+H,Sulfo GalCer 18:0(2S-OH),0,0.0
321,9AA,negative,+H,TG 15:0-18:1-15:0,0,0.0
322,9AA,negative,+H,Taurine,0,0.0
323,9AA,negative,+H,Taurocholic acid,0,0.0
324,9AA,negative,+H,Tetrahydrofolic acid,0,0.0
325,9AA,negative,+H,Thiamine,0,0.0
326,9AA,negative,+H,Thymine,0,0.0
327,9AA,negative,+H,Tryptophan,0,0.0
328,9AA,negative,+H,Tyrosine,0,0.0
329,9AA,negative,+H,Uracil,0,0.0
330,9AA,negative,+H,Ureidosuccinic acid,0,0.0
331,9AA,negative,+H,Uric acid,0,0.0
332,9AA,negative,+H,Uridine,0,0.0
333,9AA,negative,+H,Uridine diphosphate,0,0.0
334,9AA,negative,+H,Uridine diphosphate glucose,0,0.0
335,9AA,negative,+H,Uridine diphosphate glucuronic acid,0,0.0
336,9AA,negative,+H,Uridine diphosphate-N-acetylglucosamine,0,0.0
337,9AA,negative,+H,Urocanic acid,0,0.0
338,9AA,negative,+H,Valine,0,0.0
339,9AA,negative,+H,Xanthine,0,0.0
340,9AA,negative,+H,alpha-tocopherol,0,0.0
341,9AA,negative,+H,cis-Aconitic acid,0,0.0
342,9AA,negative,+H,gamma-Aminobutyric acid,0,0.0
343,9AA,negative,+H,myo-Inositol,0,0.0
344,9AA,negative,+K,2-Oxoglutaric acid,0,0.0
345,9AA,negative,+K,3-Hydroxyanthranilic acid,0,0.0
346,9AA,negative,+K,3-Hydroxymethylglutaric acid,0,0.0
347,9AA,negative,+K,3-Phosphoglyceric acid,0,0.0
348,9AA,negative,+K,"4,5-Dihydroorotic acid",0,0.0
349,9AA,negative,+K,4-Hydroxyproline,0,0.0
350,9AA,negative,+K,5-Hydroxyindoleacetic acid,0,0.0
351,9AA,negative,+K,6-Phosphogluconic acid,0,0.0
352,9AA,negative,+K,Acetoacetic acid,0,0.0
353,9AA,negative,+K,Acetyl-CoA,0,0.0
354,9AA,negative,+K,Acetylcarnitine,0,0.0
355,9AA,negative,+K,Acetylcholine,0,0.0
356,9AA,negative,+K,Adenine,0,0.0
357,9AA,negative,+K,Adenosine diphosphate,0,0.0
358,9AA,negative,+K,Adenosine monophosphate,0,0.0
359,9AA,negative,+K,Adenosine triphosphate,0,0.0
360,9AA,negative,+K,Agmatine,0,0.0
361,9AA,negative,+K,Arachidonic acid,0,0.0
362,9AA,negative,+K,Arginine,0,0.0
363,9AA,negative,+K,Argininosuccinic acid,0,0.0
364,9AA,negative,+K,Ascorbic acid,0,0.0
365,9AA,negative,+K,Asparagine,0,0.0
366,9AA,negative,+K,Aspartic acid,0,0.0
367,9AA,negative,+K,Biotin,0,0.0
368,9AA,negative,+K,Butyric acid,0,0.0
369,9AA,negative,+K,CAR 16:0,0,0.0
370,9AA,negative,+K,Carbamoyl phosphate,0,0.0
371,9AA,negative,+K,Cardiolipin 18:1,0,0.0
372,9AA,negative,+K,Carnitine,0,0.0
373,9AA,negative,+K,Carnosine,0,0.0
374,9AA,negative,+K,Cer d8:1/22:0 Cer,0,0.0
375,9AA,negative,+K,Cholecalciferol,0,0.0
376,9AA,negative,+K,Cholesterol,0,0.0
377,9AA,negative,+K,Cholesteryl acetate,0,0.0
378,9AA,negative,+K,Cholesteryl ester 17:0,0,0.0
379,9AA,negative,+K,Cholic acid,0,0.0
380,9AA,negative,+K,Choline,0,0.0
381,9AA,negative,+K,Citric acid,0,0.0
382,9AA,negative,+K,Citrulline,0,0.0
383,9AA,negative,+K,Coenzyme A,0,0.0
384,9AA,negative,+K,Creatine,0,0.0
385,9AA,negative,+K,Creatinine,0,0.0
386,9AA,negative,+K,Cyclic adenosine monophosphate,0,0.0
387,9AA,negative,+K,Cysteine,0,0.0
388,9AA,negative,+K,Cystine,0,0.0
389,9AA,negative,+K,Cytidine,0,0.0
390,9AA,negative,+K,Cytidine monophosphate,0,0.0
391,9AA,negative,+K,Cytosine,0,0.0
392,9AA,negative,+K,DG 18:0-22:6,0,0.0
393,9AA,negative,+K,Dihydroxyacetone,0,0.0
394,9AA,negative,+K,Dihydroxyacetone phosphate,0,0.0
395,9AA,negative,+K,Dopamine,0,0.0
396,9AA,negative,+K,Epinephrine,0,0.0
397,9AA,negative,+K,Estradiol,0,0.0
